Name,Brand,Categories,PrimaryCategories,Reviews.Date,Reviews.Text,Reviews.Title,Sentiment,Full_Review,Sentiment_Score,Sentiment_Category
Gaming HP,HP,Computers,Gaming,2024-01-08,Mediocre experience.,Average,Neutral,Mediocre experience. Average,0.42,Neutral
Laptops Sony,Sony,Computers,Laptops,2024-05-26,Worth every penny.,Fantastic Buy,Positive,Worth every penny. Fantastic Buy,0.94,Positive
Microphones LG,LG,Audio,Microphones,2024-01-18,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.91,Positive
Tables Dell,Dell,Furniture,Tables,2024-11-01,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.92,Positive
Gaming HP,HP,Computers,Gaming,2024-11-16,It's fine.,It's okay,Neutral,It's fine. It's okay,0.4,Neutral
Laptops Amazon,Amazon,Computers,Laptops,2024-09-14,Not worth the price.,Terrible,Negative,Not worth the price. Terrible,0.16,Negative
Kitchen Samsung,Samsung,Appliances,Kitchen,2024-10-02,It's fine.,It's okay,Neutral,It's fine. It's okay,0.62,Neutral
Phones Bose,Bose,Electronics,Phones,2024-03-13,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.49,Neutral
Earphones HP,HP,Audio,Earphones,2024-06-29,Exceeded expectations.,Fantastic Buy,Positive,Exceeded expectations. Fantastic Buy,0.8,Positive
Kitchen ASUS,ASUS,Appliances,Kitchen,2024-11-15,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.42,Neutral
Speakers HP,HP,Audio,Speakers,2024-10-07,Amazing quality!,Highly Recommend,Positive,Amazing quality! Highly Recommend,0.75,Positive
Microphones Bose,Bose,Audio,Microphones,2024-03-14,Terrible quality.,Terrible,Negative,Terrible quality. Terrible,0.08,Negative
Kitchen Samsung,Samsung,Appliances,Kitchen,2024-09-19,It's fine.,Decent Quality,Neutral,It's fine. Decent Quality,0.67,Neutral
Beds Bose,Bose,Furniture,Beds,2024-10-11,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.13,Negative
Laundry Samsung,Samsung,Appliances,Laundry,2024-10-31,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.8,Positive
Beds Sony,Sony,Furniture,Beds,2024-04-28,It's fine.,Average,Neutral,It's fine. Average,0.5,Neutral
Laundry Bose,Bose,Appliances,Laundry,2024-02-27,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.26,Negative
Gaming Bose,Bose,Computers,Gaming,2024-10-24,Terrible quality.,Terrible,Negative,Terrible quality. Terrible,0.23,Negative
Laundry Samsung,Samsung,Appliances,Laundry,2024-03-21,It's fine.,It's okay,Neutral,It's fine. It's okay,0.55,Neutral
Cameras Samsung,Samsung,Electronics,Cameras,2024-04-09,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.47,Neutral
Accessories LG,LG,Computers,Accessories,2024-01-16,Disappointing features.,Terrible,Negative,Disappointing features. Terrible,0.19,Negative
Accessories Samsung,Samsung,Computers,Accessories,2024-06-06,Mediocre experience.,Decent Quality,Neutral,Mediocre experience. Decent Quality,0.64,Neutral
Phones HP,HP,Electronics,Phones,2024-02-07,Terrible quality.,Not Impressed,Negative,Terrible quality. Not Impressed,0.08,Negative
Phones Bose,Bose,Electronics,Phones,2024-02-19,Not worth the price.,Not Impressed,Negative,Not worth the price. Not Impressed,0.01,Negative
Laundry Samsung,Samsung,Appliances,Laundry,2024-01-24,It's fine.,It's okay,Neutral,It's fine. It's okay,0.5,Neutral
Gaming Sony,Sony,Computers,Gaming,2024-04-24,Disappointing features.,Not Impressed,Negative,Disappointing features. Not Impressed,0.1,Negative
Beds Apple,Apple,Furniture,Beds,2024-07-27,Amazing quality!,Highly Recommend,Positive,Amazing quality! Highly Recommend,0.79,Positive
Tables LG,LG,Furniture,Tables,2024-06-14,"Not bad, not great.",Average,Neutral,"Not bad, not great. Average",0.54,Neutral
Laundry Amazon,Amazon,Appliances,Laundry,2024-10-08,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.59,Neutral
Microphones Bose,Bose,Audio,Microphones,2024-09-10,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.87,Positive
Microphones ASUS,ASUS,Audio,Microphones,2024-03-07,Disappointing features.,Disappointing,Negative,Disappointing features. Disappointing,0.14,Negative
Laundry Samsung,Samsung,Appliances,Laundry,2024-05-28,Terrible quality.,Disappointing,Negative,Terrible quality. Disappointing,0.01,Negative
Beds LG,LG,Furniture,Beds,2024-01-23,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.64,Neutral
Laundry Samsung,Samsung,Appliances,Laundry,2024-01-02,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.65,Neutral
Phones Bose,Bose,Electronics,Phones,2024-08-28,Exceeded expectations.,Highly Recommend,Positive,Exceeded expectations. Highly Recommend,0.85,Positive
Phones HP,HP,Electronics,Phones,2024-02-21,"Not bad, not great.",It's okay,Neutral,"Not bad, not great. It's okay",0.41,Neutral
Speakers Apple,Apple,Audio,Speakers,2024-06-01,Mediocre experience.,It's okay,Neutral,Mediocre experience. It's okay,0.45,Neutral
Cleaning ASUS,ASUS,Appliances,Cleaning,2024-11-01,Amazing quality!,Fantastic Buy,Positive,Amazing quality! Fantastic Buy,0.76,Positive
Tables Apple,Apple,Furniture,Tables,2024-10-28,Worth every penny.,Great Product,Positive,Worth every penny. Great Product,0.8,Positive
Cleaning HP,HP,Appliances,Cleaning,2024-01-08,It's fine.,Average,Neutral,It's fine. Average,0.54,Neutral
Smart Devices ASUS,ASUS,Electronics,Smart Devices,2024-01-18,Amazing quality!,Highly Recommend,Positive,Amazing quality! Highly Recommend,0.9,Positive
Microphones Apple,Apple,Audio,Microphones,2024-02-28,It's fine.,Average,Neutral,It's fine. Average,0.66,Neutral
Gaming Amazon,Amazon,Computers,Gaming,2024-08-07,It's fine.,Average,Neutral,It's fine. Average,0.46,Neutral
Earphones Sony,Sony,Audio,Earphones,2024-03-11,"Not bad, not great.",Decent Quality,Neutral,"Not bad, not great. Decent Quality",0.52,Neutral
Microphones HP,HP,Audio,Microphones,2024-04-07,Amazing quality!,Great Product,Positive,Amazing quality! Great Product,0.78,Positive
Cleaning Amazon,Amazon,Appliances,Cleaning,2024-05-15,Worth every penny.,Highly Recommend,Positive,Worth every penny. Highly Recommend,0.76,Positive
Kitchen ASUS,ASUS,Appliances,Kitchen,2024-02-10,Terrible quality.,Terrible,Negative,Terrible quality. Terrible,0.07,Negative
